"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 17 21:31:40 GMT 2022","Thu Mar 17 21:31:40 GMT 2022","0","unittests","test_haclient","TestUrlChecker","","","test_wrong_entry","Test regex parsing user inputted url that should fail"
"passed","Thu Mar 17 21:32:01 GMT 2022","Thu Mar 17 21:32:02 GMT 2022","393","","behave","","","","set light brightness",""
"passed","Thu Mar 17 21:31:40 GMT 2022","Thu Mar 17 21:31:40 GMT 2022","0","unittests","test_haclient","TestUrlChecker","","","test_ipv6_with_port","Test regex parsing user inputted as ipv6 with port"
"passed","Thu Mar 17 21:31:40 GMT 2022","Thu Mar 17 21:31:40 GMT 2022","4","unittests","test_haclient","TestUrlChecker","","","test_check_ip_with_hostname","Test regex parsing user inputted url as hostname"
"passed","Thu Mar 17 21:31:52 GMT 2022","Thu Mar 17 21:31:53 GMT 2022","383","","behave","","","","toggle on switch",""
"passed","Thu Mar 17 21:31:53 GMT 2022","Thu Mar 17 21:32:01 GMT 2022","8251","","behave","","","","turn on light",""
"passed","Thu Mar 17 21:32:56 GMT 2022","Thu Mar 17 21:32:57 GMT 2022","375","","behave","","","","show image",""
"passed","Thu Mar 17 21:31:40 GMT 2022","Thu Mar 17 21:31:40 GMT 2022","1","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port","Test with ssl and without port number specified"
"passed","Thu Mar 17 21:32:03 GMT 2022","Thu Mar 17 21:32:03 GMT 2022","331","","behave","","","","turn off light",""
"passed","Thu Mar 17 21:32:45 GMT 2022","Thu Mar 17 21:32:46 GMT 2022","346","","behave","","","","set climate temperature",""
"passed","Thu Mar 17 21:32:46 GMT 2022","Thu Mar 17 21:32:56 GMT 2022","10302","","behave","","","","show image of missing entity",""
"passed","Thu Mar 17 21:32:03 GMT 2022","Thu Mar 17 21:32:03 GMT 2022","629","","behave","","","","triger automation",""
"passed","Thu Mar 17 21:31:40 GMT 2022","Thu Mar 17 21:31:40 GMT 2022","0","unittests","test_haclient","TestUrlChecker","","","test_ip_four","Test regex parsing user inputted url as ip v4 address"
"passed","Thu Mar 17 21:32:02 GMT 2022","Thu Mar 17 21:32:02 GMT 2022","377","","behave","","","","increase light brightness",""
"passed","Thu Mar 17 21:32:02 GMT 2022","Thu Mar 17 21:32:03 GMT 2022","360","","behave","","","","decrease light brightness",""
"passed","Thu Mar 17 21:31:40 GMT 2022","Thu Mar 17 21:31:40 GMT 2022","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl","Test with ssl"
"passed","Thu Mar 17 21:32:03 GMT 2022","Thu Mar 17 21:32:04 GMT 2022","708","","behave","","","","tracker",""
"passed","Thu Mar 17 21:32:04 GMT 2022","Thu Mar 17 21:32:15 GMT 2022","10303","","behave","","","","where is skill conflict -- @1.1 where is skill conflict",""
"passed","Thu Mar 17 21:32:46 GMT 2022","Thu Mar 17 21:32:46 GMT 2022","334","","behave","","","","add item",""
"passed","Thu Mar 17 21:31:53 GMT 2022","Thu Mar 17 21:31:53 GMT 2022","636","","behave","","","","turn off switch",""
"passed","Thu Mar 17 21:31:52 GMT 2022","Thu Mar 17 21:31:52 GMT 2022","385","","behave","","","","toggle off switch",""
"passed","Thu Mar 17 21:32:25 GMT 2022","Thu Mar 17 21:32:35 GMT 2022","10303","","behave","","","","where is skill conflict -- @1.3 where is skill conflict",""
"passed","Thu Mar 17 21:32:35 GMT 2022","Thu Mar 17 21:32:45 GMT 2022","10303","","behave","","","","where is skill conflict -- @1.4 where is skill conflict",""
"passed","Thu Mar 17 21:31:48 GMT 2022","Thu Mar 17 21:31:51 GMT 2022","3838","","behave","","","","read sensor",""
"passed","Thu Mar 17 21:31:40 GMT 2022","Thu Mar 17 21:31:40 GMT 2022","1","unittests","test_haclient","TestUrlChecker","","","test_ip_six_all","Test regex parsing user inputted url as ip v6 address"
"passed","Thu Mar 17 21:31:40 GMT 2022","Thu Mar 17 21:31:40 GMT 2022","2","unittests","test_haclient","TestHaClient","","","test_toggle_lights","Test toggle functionality"
"passed","Thu Mar 17 21:31:40 GMT 2022","Thu Mar 17 21:31:40 GMT 2022","33","unittests","test_haclient","TestHaClient","","","test_light_nossl","Test base turn on/off behavior.
         This need running HA session!
        "
"passed","Thu Mar 17 21:31:40 GMT 2022","Thu Mar 17 21:31:40 GMT 2022","0","unittests","test_haclient","TestUrlChecker","","","test_ip_six_full","Test regex parsing user inputted url as ip v6 address"
"passed","Thu Mar 17 21:31:40 GMT 2022","Thu Mar 17 21:31:40 GMT 2022","0","unittests","test_haclient","TestHaClient","","","test_broke_entity","Test behavior with non-exist entity"
"passed","Thu Mar 17 21:31:51 GMT 2022","Thu Mar 17 21:31:52 GMT 2022","381","","behave","","","","turn on switch",""
"passed","Thu Mar 17 21:32:15 GMT 2022","Thu Mar 17 21:32:25 GMT 2022","10302","","behave","","","","where is skill conflict -- @1.2 where is skill conflict",""
